time,linear,angular
2024/06/27 13:23:40.392033085,"{'x': 2331.738044897438, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.6682349468662032}"
2024/06/27 13:23:40.403098189,"{'x': 0.057060962442624936, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.6682408928863959}"
2024/06/27 13:23:40.435776363,"{'x': 0.11406421248630942, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.6682670072819361}"
2024/06/27 13:23:40.489674440,"{'x': 0.20221712845938805, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.6358501820768172}"
2024/06/27 13:23:40.543970974,"{'x': 0.35110167520593727, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.5763474455984321}"
2024/06/27 13:23:40.596586984,"{'x': 0.3451578233007767, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.5477321137747246}"
2024/06/27 13:23:40.660316545,"{'x': 0.5152562544302105, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.5026054890581504}"
2024/06/27 13:23:40.712974250,"{'x': 0.4912106670503836, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.48029330554511684}"
2024/06/27 13:23:40.766196162,"{'x': 0.6268512012312648, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.4452772643323142}"
2024/06/27 13:23:40.836635172,"{'x': 0.6468789158991565, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.4272222325342714}"
2024/06/27 13:23:40.884053071,"{'x': 0.731953349894937, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.4123826809486726}"
2024/06/27 13:23:40.937261303,"{'x': 0.7720776788851961, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.3822722902673297}"
2024/06/27 13:23:41.1410667,"{'x': 0.8991237968455466, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.3561656479483366}"
2024/06/27 13:23:41.54743761,"{'x': 0.8799723122669285, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.3434073920658909}"
2024/06/27 13:23:41.108021318,"{'x': 0.9854571267805223, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.33286847002204567}"
2024/06/27 13:23:41.160538225,"{'x': 0.9607870982993295, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.31010824407424664}"
2024/06/27 13:23:41.220857259,"{'x': 1.0565834627614274, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.29861394227065663}"
2024/06/27 13:23:41.266744937,"{'x': 1.0402674041228444, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.2663387485923536}"
2024/06/27 13:23:41.318575585,"{'x': 1.1183192145134229, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.25354698067793713}"
2024/06/27 13:23:41.371578876,"{'x': 1.1720798718446215, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.22411239080771317}"
2024/06/27 13:23:41.436002287,"{'x': 1.182076055605196, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.20637651851658223}"
2024/06/27 13:23:41.502660256,"{'x': 1.2313980887361853, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.1810128806072564}"
2024/06/27 13:23:41.550312247,"{'x': 1.2237292038710696, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.16480518322453985}"
2024/06/27 13:23:41.619074805,"{'x': 1.2688251378624704, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.15639163610201212}"
2024/06/27 13:23:41.679897936,"{'x': 1.268229675111451, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.12938373487919375}"
2024/06/27 13:23:41.733106646,"{'x': 1.308435868440478, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.1158582395381762}"
2024/06/27 13:23:41.798759344,"{'x': 1.3069603505921454, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.09733590944097781}"
2024/06/27 13:23:41.850056714,"{'x': 1.334599395757822, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.07612837868189093}"
2024/06/27 13:23:41.903460988,"{'x': 1.3334197346299812, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.07034608586245827}"
2024/06/27 13:23:41.961871598,"{'x': 1.3601051675887266, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.06274425023464492}"
2024/06/27 13:23:42.22505620,"{'x': 1.3602445338742726, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.06028590656770216}"
2024/06/27 13:23:42.86976574,"{'x': 1.3837286924154992, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.0574953723131193}"
2024/06/27 13:23:42.167950178,"{'x': 1.380599235553305, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.05515548653033253}"
2024/06/27 13:23:42.243791461,"{'x': 1.403005601059641, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.04972088791388263}"
2024/06/27 13:23:42.327168018,"{'x': 1.422219001212567, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.03308716508682785}"
2024/06/27 13:23:42.402829393,"{'x': 1.416746362641324, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': -0.019243241947245693}"
2024/06/27 13:23:42.475816523,"{'x': 1.4304055074269566, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.011145692516791428}"
2024/06/27 13:23:42.530269832,"{'x': 1.42842663725703, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.01946916081519312}"
2024/06/27 13:23:42.582593654,"{'x': 1.438673152839879, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.023918084100035486}"
2024/06/27 13:23:42.635108257,"{'x': 1.4388294721274018, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.02592831526657058}"
2024/06/27 13:23:42.688215152,"{'x': 1.4471234059691778, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.03723397399695649}"
2024/06/27 13:23:42.740679216,"{'x': 1.4473126222541792, 'y': 0.0, 'z': 0.0}","{'x': 0.0, 'y': 0.0, 'z': 0.046985854649196135}"
