time,header,pose
2024/06/27 13:19:34.607425952,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850885611417142, 'y': -21.79998795361587, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015306722957252238, 'w': 0.9998828452535377}}"
2024/06/27 13:19:34.659324548,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.85088569434451, 'y': -21.799987960029778, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.01530765640328646, 'w': 0.9998828309634279}}"
2024/06/27 13:19:34.722372675,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850885756979244, 'y': -21.79998793916174, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.01530955702289653, 'w': 0.9998828018641798}}"
2024/06/27 13:19:34.785472933,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850885838737658, 'y': -21.799987904565665, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015310500609765548, 'w': 0.9998827874161442}}"
2024/06/27 13:19:34.836896246,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850885909989059, 'y': -21.799987962908382, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015312452385107122, 'w': 0.9998827575280783}}"
2024/06/27 13:19:34.889229421,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850885960473412, 'y': -21.799987907626484, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015313398651018936, 'w': 0.9998827430362797}}"
2024/06/27 13:19:34.941997909,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850886097961605, 'y': -21.799987940342994, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.01531527879203491, 'w': 0.9998827142397864}}"
2024/06/27 13:19:35.5113616,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850886167555265, 'y': -21.799987958138562, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.01531621349863721, 'w': 0.999882699922378}}"
2024/06/27 13:19:35.56750626,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850886216377495, 'y': -21.799987947602276, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015318158763918474, 'w': 0.9998826701228917}}"
2024/06/27 13:19:35.108577883,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.8508862828738994, 'y': -21.799987909343404, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015319118654006402, 'w': 0.9998826554169566}}"
2024/06/27 13:19:35.171252210,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.8508863697037095, 'y': -21.799987938375104, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015321006634277249, 'w': 0.9998826264895857}}"
2024/06/27 13:19:35.222851057,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.8508864715382405, 'y': -21.799987927134858, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.01532195037273263, 'w': 0.9998826120284198}}"
2024/06/27 13:19:35.275570463,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850886538159483, 'y': -21.799987940791766, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015322891764430382, 'w': 0.9998825976023263}}"
2024/06/27 13:19:35.338931776,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.8508866414420835, 'y': -21.799987897864007, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015324784734796449, 'w': 0.9998825685913482}}"
2024/06/27 13:19:35.392016251,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850886686589214, 'y': -21.799987926411116, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015326741243093253, 'w': 0.9998825386028437}}"
2024/06/27 13:19:35.444083108,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.8508867555725175, 'y': -21.799987935137548, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015327678600648435, 'w': 0.9998825242340799}}"
2024/06/27 13:19:35.496782752,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850886857900049, 'y': -21.799987862116456, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015329578959916759, 'w': 0.9998824951007552}}"
2024/06/27 13:19:35.550193137,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850886898443952, 'y': -21.799987948828317, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015330557931588747, 'w': 0.9998824800912887}}"
2024/06/27 13:19:35.602263538,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850886972413574, 'y': -21.799987957496025, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.01533148559248667, 'w': 0.9998824658676275}}"
2024/06/27 13:19:35.654627128,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850887081272605, 'y': -21.79998785442504, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015333354364921064, 'w': 0.9998824372114552}}"
2024/06/27 13:19:35.706828376,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850887148340905, 'y': -21.799987927231193, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015334333126908033, 'w': 0.9998824222015071}}"
2024/06/27 13:19:35.758479140,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.85088723692614, 'y': -21.799987907499307, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015336235416898417, 'w': 0.9998823930259185}}"
2024/06/27 13:19:35.811082894,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850887292701536, 'y': -21.799987882786027, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.01533718056048243, 'w': 0.9998823785288223}}"
2024/06/27 13:19:35.862971154,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.85088739579345, 'y': -21.79998790241948, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015339085057184874, 'w': 0.9998823493139622}}"
2024/06/27 13:19:35.915080210,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850887428828848, 'y': -21.799987959305, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015340082005159735, 'w': 0.999882334019396}}"
2024/06/27 13:19:35.967211069,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.85088753341976, 'y': -21.79998782420176, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015341962697694039, 'w': 0.9998823051642541}}"
2024/06/27 13:19:36.21442361,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850887598342509, 'y': -21.799987834290295, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015342907070257223, 'w': 0.9998822906735739}}"
2024/06/27 13:19:36.84800429,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850887730729516, 'y': -21.79998797678836, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015344807947696434, 'w': 0.9998822615033474}}"
2024/06/27 13:19:36.137181300,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850887757736288, 'y': -21.799987897852244, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015345772153787967, 'w': 0.9998822467055828}}"
2024/06/27 13:19:36.189869177,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850887845293544, 'y': -21.799987822361697, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015347693587598167, 'w': 0.9998822172143783}}"
2024/06/27 13:19:36.242024581,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850887900211365, 'y': -21.799987899000055, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015348643059447362, 'w': 0.9998822026400078}}"
2024/06/27 13:19:36.295805532,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850888061268544, 'y': -21.799987895858347, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015350511438443988, 'w': 0.999882173957801}}"
2024/06/27 13:19:36.347944551,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850888072221088, 'y': -21.799987827587675, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015351471615599908, 'w': 0.9998821592163926}}"
2024/06/27 13:19:36.400239107,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850888185536032, 'y': -21.79998790455543, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.01535338575534121, 'w': 0.9998821298262349}}"
2024/06/27 13:19:36.453035380,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850888203321452, 'y': -21.79998796335551, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015354375927677943, 'w': 0.9998821146214545}}"
2024/06/27 13:19:36.506277386,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850888267008052, 'y': -21.79998789116133, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015355311316141158, 'w': 0.9998821002570175}}"
2024/06/27 13:19:36.570376605,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850888353086098, 'y': -21.799987822505, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015357219497159099, 'w': 0.9998820709510278}}"
2024/06/27 13:19:36.622369375,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850888425841849, 'y': -21.799987893373313, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015358186581702358, 'w': 0.9998820560970787}}"
2024/06/27 13:19:36.675859540,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.8508885606103815, 'y': -21.799987874286575, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.01536003190973823, 'w': 0.9998820277511402}}"
2024/06/27 13:19:36.737191534,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850888576854086, 'y': -21.799987860613406, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015361026283181372, 'w': 0.9998820124752357}}"
2024/06/27 13:19:36.790286279,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850888683615375, 'y': -21.799987868744804, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015362934501356671, 'w': 0.999881983157766}}"
2024/06/27 13:19:36.843569947,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850888778194445, 'y': -21.799987884289415, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015363851486389437, 'w': 0.9998819690681017}}"
2024/06/27 13:19:36.896381269,"{'stamp': {'secs': 0, 'nsecs': 0}, 'frame_id': 'map'}","{'position': {'x': 7.850888858734382, 'y': -21.799987918868386, 'z': 0.0}, 'orientation': {'x': 0.0, 'y': 0.0, 'z': 0.015365775804802709, 'w': 0.9998819394978172}}"
